5700 D loss: 0.096209, acc.: 95.31%, G loss: 0.113407, time: 0:15:50.375857
5750 D loss: 0.067028, acc.: 98.44%, G loss: 0.113031, time: 0:15:58.605894
5800 D loss: 0.132706, acc.: 93.75%, G loss: 0.133889, time: 0:16:06.861826
5850 D loss: 0.110818, acc.: 98.44%, G loss: 0.123721, time: 0:16:15.115225
5900 D loss: 0.058847, acc.: 100.00%, G loss: 0.124156, time: 0:16:23.341393
5950 D loss: 0.105107, acc.: 96.88%, G loss: 0.108673, time: 0:16:31.589082
6000 D loss: 0.092366, acc.: 98.44%, G loss: 0.111995, time: 0:16:39.826786
6050 D loss: 0.092511, acc.: 98.44%, G loss: 0.141368, time: 0:16:48.075084
6100 D loss: 0.211380, acc.: 93.75%, G loss: 0.118744, time: 0:16:56.329504
6150 D loss: 0.112501, acc.: 98.44%, G loss: 0.103711, time: 0:17:04.569333
6200 D loss: 0.101747, acc.: 96.88%, G loss: 0.169773, time: 0:17:12.807120
6250 D loss: 0.130086, acc.: 95.31%, G loss: 0.145610, time: 0:17:21.058739
6300 D loss: 0.133725, acc.: 95.31%, G loss: 0.147816, time: 0:17:29.308683
6350 D loss: 0.056496, acc.: 100.00%, G loss: 0.154408, time: 0:17:37.572886
6400 D loss: 0.076162, acc.: 98.44%, G loss: 0.104392, time: 0:17:45.807571
6450 D loss: 0.256013, acc.: 90.62%, G loss: 0.145519, time: 0:17:54.057526
6500 D loss: 0.081292, acc.: 98.44%, G loss: 0.152356, time: 0:18:02.304783
6550 D loss: 0.146383, acc.: 96.88%, G loss: 0.115144, time: 0:18:10.547181
6600 D loss: 0.050274, acc.: 100.00%, G loss: 0.123381, time: 0:18:18.808030
6650 D loss: 0.045397, acc.: 100.00%, G loss: 0.133917, time: 0:18:27.065199
6700 D loss: 0.034753, acc.: 100.00%, G loss: 0.146824, time: 0:18:35.303824
6750 D loss: 0.124771, acc.: 95.31%, G loss: 0.144884, time: 0:18:43.551029
6800 D loss: 0.071565, acc.: 98.44%, G loss: 0.150405, time: 0:18:51.800277
6850 D loss: 0.067037, acc.: 96.88%, G loss: 0.138074, time: 0:19:00.047068
6900 D loss: 0.035370, acc.: 100.00%, G loss: 0.161983, time: 0:19:08.298851
6950 D loss: 0.130557, acc.: 95.31%, G loss: 0.146052, time: 0:19:16.585706
7000 D loss: 0.030264, acc.: 100.00%, G loss: 0.148649, time: 0:19:24.867163
7050 D loss: 0.070118, acc.: 98.44%, G loss: 0.168625, time: 0:19:33.130747
7100 D loss: 0.130858, acc.: 96.88%, G loss: 0.133055, time: 0:19:41.393307
7150 D loss: 0.054568, acc.: 98.44%, G loss: 0.135831, time: 0:19:49.668677
7200 D loss: 0.079619, acc.: 96.88%, G loss: 0.114675, time: 0:19:57.947207
7250 D loss: 0.144459, acc.: 93.75%, G loss: 0.132060, time: 0:20:06.241298
7300 D loss: 0.088316, acc.: 98.44%, G loss: 0.148676, time: 0:20:14.516105
7350 D loss: 0.118684, acc.: 96.88%, G loss: 0.169347, time: 0:20:22.774468
7400 D loss: 0.083415, acc.: 98.44%, G loss: 0.145174, time: 0:20:31.026491
7450 D loss: 0.125924, acc.: 95.31%, G loss: 0.152136, time: 0:20:39.257936
7500 D loss: 0.047884, acc.: 98.44%, G loss: 0.158446, time: 0:20:47.515286
7550 D loss: 0.133166, acc.: 96.88%, G loss: 0.142397, time: 0:20:55.907674
7600 D loss: 0.028626, acc.: 100.00%, G loss: 0.161225, time: 0:21:04.161873
7650 D loss: 0.078518, acc.: 96.88%, G loss: 0.122102, time: 0:21:12.459453
7700 D loss: 0.051032, acc.: 100.00%, G loss: 0.147188, time: 0:21:20.722373
7750 D loss: 0.028339, acc.: 100.00%, G loss: 0.185024, time: 0:21:28.995345
7800 D loss: 0.030390, acc.: 100.00%, G loss: 0.165502, time: 0:21:37.235915
7850 D loss: 0.102807, acc.: 98.44%, G loss: 0.148608, time: 0:21:45.473765
7900 D loss: 0.067086, acc.: 98.44%, G loss: 0.159090, time: 0:21:53.724056
7950 D loss: 0.063925, acc.: 100.00%, G loss: 0.148207, time: 0:22:02.019274
8000 D loss: 0.024916, acc.: 100.00%, G loss: 0.163991, time: 0:22:10.279677
8050 D loss: 0.046277, acc.: 100.00%, G loss: 0.162196, time: 0:22:18.539863
8100 D loss: 0.042152, acc.: 100.00%, G loss: 0.165249, time: 0:22:26.788096
8150 D loss: 0.037821, acc.: 100.00%, G loss: 0.176870, time: 0:22:35.062284
8200 D loss: 0.119008, acc.: 93.75%, G loss: 0.149624, time: 0:22:43.327088
8250 D loss: 0.063747, acc.: 98.44%, G loss: 0.210239, time: 0:22:51.591023
8300 D loss: 0.031873, acc.: 100.00%, G loss: 0.175513, time: 0:22:59.859221
8350 D loss: 0.041945, acc.: 98.44%, G loss: 0.199431, time: 0:23:08.109449
