8500 D_loss: 0.296574 , acc.: 90.62% , G_loss: 0.053745 , time: 0:20:22.651676
8550 D_loss: 0.336725 , acc.: 84.38% , G_loss: 0.064067 , time: 0:20:29.477893
8600 D_loss: 0.256965 , acc.: 96.88% , G_loss: 0.065745 , time: 0:20:36.319808
8650 D_loss: 0.356795 , acc.: 87.50% , G_loss: 0.057928 , time: 0:20:43.167199
8700 D_loss: 0.312229 , acc.: 89.06% , G_loss: 0.060762 , time: 0:20:50.012236
8750 D_loss: 0.300938 , acc.: 87.50% , G_loss: 0.075842 , time: 0:20:56.871926
8800 D_loss: 0.345227 , acc.: 87.50% , G_loss: 0.064717 , time: 0:21:03.729454
8850 D_loss: 0.259416 , acc.: 95.31% , G_loss: 0.058203 , time: 0:21:10.570039
8900 D_loss: 0.363854 , acc.: 87.50% , G_loss: 0.040717 , time: 0:21:17.409416
8950 D_loss: 0.375006 , acc.: 84.38% , G_loss: 0.060128 , time: 0:21:24.245411
9000 D_loss: 0.316773 , acc.: 89.06% , G_loss: 0.071096 , time: 0:21:31.081271
9050 D_loss: 0.355276 , acc.: 87.50% , G_loss: 0.064306 , time: 0:21:37.890272
9100 D_loss: 0.245945 , acc.: 93.75% , G_loss: 0.060456 , time: 0:21:44.721955
9150 D_loss: 0.273551 , acc.: 90.62% , G_loss: 0.062353 , time: 0:21:51.555758
9200 D_loss: 0.346088 , acc.: 84.38% , G_loss: 0.051650 , time: 0:21:58.399161
9250 D_loss: 0.349781 , acc.: 89.06% , G_loss: 0.055289 , time: 0:22:05.233203
9300 D_loss: 0.282630 , acc.: 87.50% , G_loss: 0.069536 , time: 0:22:12.052786
9350 D_loss: 0.273346 , acc.: 93.75% , G_loss: 0.068388 , time: 0:22:18.892099
9400 D_loss: 0.293585 , acc.: 89.06% , G_loss: 0.078321 , time: 0:22:25.755664
9450 D_loss: 0.204762 , acc.: 93.75% , G_loss: 0.069460 , time: 0:22:32.622960
9500 D_loss: 0.313023 , acc.: 95.31% , G_loss: 0.063655 , time: 0:22:39.466195
9550 D_loss: 0.266023 , acc.: 92.19% , G_loss: 0.070880 , time: 0:22:46.325550
9600 D_loss: 0.356307 , acc.: 84.38% , G_loss: 0.067192 , time: 0:22:53.160300
9650 D_loss: 0.283179 , acc.: 89.06% , G_loss: 0.056832 , time: 0:22:59.995648
9700 D_loss: 0.271518 , acc.: 87.50% , G_loss: 0.063521 , time: 0:23:06.834140
9750 D_loss: 0.248320 , acc.: 92.19% , G_loss: 0.060865 , time: 0:23:13.650262
9800 D_loss: 0.323003 , acc.: 85.94% , G_loss: 0.062021 , time: 0:23:20.490208
9850 D_loss: 0.266664 , acc.: 95.31% , G_loss: 0.062991 , time: 0:23:27.313829
9900 D_loss: 0.224385 , acc.: 95.31% , G_loss: 0.061772 , time: 0:23:34.140817
9950 D_loss: 0.258602 , acc.: 92.19% , G_loss: 0.060797 , time: 0:23:40.960665
10000 D_loss: 0.369032 , acc.: 84.38% , G_loss: 0.054491 , time: 0:23:47.792170
10050 D_loss: 0.191121 , acc.: 95.31% , G_loss: 0.063175 , time: 0:23:54.543182
10100 D_loss: 0.315654 , acc.: 87.50% , G_loss: 0.054745 , time: 0:24:01.193600
10150 D_loss: 0.234217 , acc.: 95.31% , G_loss: 0.071465 , time: 0:24:07.831870
10200 D_loss: 0.204249 , acc.: 96.88% , G_loss: 0.060376 , time: 0:24:14.487293
10250 D_loss: 0.365984 , acc.: 84.38% , G_loss: 0.076221 , time: 0:24:21.136003
10300 D_loss: 0.423020 , acc.: 82.81% , G_loss: 0.071313 , time: 0:24:27.789356
10350 D_loss: 0.287392 , acc.: 89.06% , G_loss: 0.069480 , time: 0:24:34.427586
10400 D_loss: 0.218311 , acc.: 96.88% , G_loss: 0.061131 , time: 0:24:41.059859
10450 D_loss: 0.328165 , acc.: 87.50% , G_loss: 0.055551 , time: 0:24:47.710750
10500 D_loss: 0.250962 , acc.: 92.19% , G_loss: 0.081475 , time: 0:24:54.370032
10550 D_loss: 0.337054 , acc.: 85.94% , G_loss: 0.062804 , time: 0:25:00.990587
10600 D_loss: 0.394804 , acc.: 81.25% , G_loss: 0.065145 , time: 0:25:07.623352
10650 D_loss: 0.283269 , acc.: 90.62% , G_loss: 0.051116 , time: 0:25:14.277792
10700 D_loss: 0.417700 , acc.: 87.50% , G_loss: 0.060099 , time: 0:25:20.909404
10750 D_loss: 0.341711 , acc.: 90.62% , G_loss: 0.065006 , time: 0:25:27.547634
10800 D_loss: 0.252412 , acc.: 96.88% , G_loss: 0.063034 , time: 0:25:34.180172
10850 D_loss: 0.225398 , acc.: 93.75% , G_loss: 0.069313 , time: 0:25:40.811537
10900 D_loss: 0.329490 , acc.: 87.50% , G_loss: 0.076379 , time: 0:25:47.448795
10950 D_loss: 0.307296 , acc.: 87.50% , G_loss: 0.071104 , time: 0:25:54.081968
11000 D_loss: 0.374277 , acc.: 87.50% , G_loss: 0.069110 , time: 0:26:00.739137
11050 D_loss: 0.314446 , acc.: 89.06% , G_loss: 0.061091 , time: 0:26:07.395433
11100 D_loss: 0.206278 , acc.: 95.31% , G_loss: 0.067420 , time: 0:26:14.026730
11150 D_loss: 0.271919 , acc.: 90.62% , G_loss: 0.069054 , time: 0:26:20.672354
11200 D_loss: 0.421081 , acc.: 81.25% , G_loss: 0.064129 , time: 0:26:27.308340
11250 D_loss: 0.271562 , acc.: 92.19% , G_loss: 0.064755 , time: 0:26:33.931612
11300 D_loss: 0.340435 , acc.: 87.50% , G_loss: 0.056198 , time: 0:26:40.570244
11350 D_loss: 0.269617 , acc.: 93.75% , G_loss: 0.052562 , time: 0:26:47.214973
11400 D_loss: 0.306915 , acc.: 89.06% , G_loss: 0.064869 , time: 0:26:53.853868
11450 D_loss: 0.167177 , acc.: 96.88% , G_loss: 0.069258 , time: 0:27:00.496336
11500 D_loss: 0.302153 , acc.: 92.19% , G_loss: 0.071057 , time: 0:27:07.148780
11550 D_loss: 0.211733 , acc.: 96.88% , G_loss: 0.071266 , time: 0:27:13.787430
11600 D_loss: 0.346290 , acc.: 82.81% , G_loss: 0.068509 , time: 0:27:20.424734
11650 D_loss: 0.228159 , acc.: 95.31% , G_loss: 0.065698 , time: 0:27:27.076372
11700 D_loss: 0.327498 , acc.: 89.06% , G_loss: 0.049157 , time: 0:27:33.708584
11750 D_loss: 0.207478 , acc.: 100.00% , G_loss: 0.051979 , time: 0:27:40.346041
11800 D_loss: 0.281120 , acc.: 85.94% , G_loss: 0.060114 , time: 0:27:46.994270
11850 D_loss: 0.418828 , acc.: 81.25% , G_loss: 0.069221 , time: 0:27:53.644547
11900 D_loss: 0.324672 , acc.: 85.94% , G_loss: 0.077865 , time: 0:28:00.292957
11950 D_loss: 0.269641 , acc.: 90.62% , G_loss: 0.064814 , time: 0:28:06.926680
12000 D_loss: 0.364428 , acc.: 85.94% , G_loss: 0.072508 , time: 0:28:13.564435
12050 D_loss: 0.328920 , acc.: 85.94% , G_loss: 0.059845 , time: 0:28:20.204253
12100 D_loss: 0.278148 , acc.: 92.19% , G_loss: 0.067169 , time: 0:28:26.847578
12150 D_loss: 0.327448 , acc.: 93.75% , G_loss: 0.049617 , time: 0:28:33.516732
12200 D_loss: 0.279229 , acc.: 93.75% , G_loss: 0.057532 , time: 0:28:40.150573
12250 D_loss: 0.286928 , acc.: 85.94% , G_loss: 0.064309 , time: 0:28:46.809688
12300 D_loss: 0.244073 , acc.: 92.19% , G_loss: 0.059928 , time: 0:28:53.457244
12350 D_loss: 0.184256 , acc.: 93.75% , G_loss: 0.083608 , time: 0:29:00.099463
12400 D_loss: 0.302104 , acc.: 90.62% , G_loss: 0.054306 , time: 0:29:06.747285
12450 D_loss: 0.317407 , acc.: 84.38% , G_loss: 0.086619 , time: 0:29:13.389361
12500 D_loss: 0.284430 , acc.: 90.62% , G_loss: 0.074390 , time: 0:29:20.031596
12550 D_loss: 0.181823 , acc.: 98.44% , G_loss: 0.068406 , time: 0:29:26.778604
12600 D_loss: 0.169512 , acc.: 96.88% , G_loss: 0.081223 , time: 0:29:33.422399
12650 D_loss: 0.282280 , acc.: 90.62% , G_loss: 0.062874 , time: 0:29:40.058318
12700 D_loss: 0.328310 , acc.: 87.50% , G_loss: 0.076359 , time: 0:29:46.718143
12750 D_loss: 0.204556 , acc.: 96.88% , G_loss: 0.062670 , time: 0:29:53.362960
12800 D_loss: 0.416779 , acc.: 84.38% , G_loss: 0.074017 , time: 0:30:00.037579
12850 D_loss: 0.254585 , acc.: 92.19% , G_loss: 0.061573 , time: 0:30:06.717623
12900 D_loss: 0.229940 , acc.: 92.19% , G_loss: 0.068057 , time: 0:30:13.364290
12950 D_loss: 0.257469 , acc.: 93.75% , G_loss: 0.071029 , time: 0:30:20.019029
13000 D_loss: 0.313360 , acc.: 87.50% , G_loss: 0.081784 , time: 0:30:26.664280
13050 D_loss: 0.331593 , acc.: 89.06% , G_loss: 0.067261 , time: 0:30:33.309692
13100 D_loss: 0.184076 , acc.: 100.00% , G_loss: 0.056115 , time: 0:30:39.963175
13150 D_loss: 0.348943 , acc.: 89.06% , G_loss: 0.066710 , time: 0:30:46.599052
